x,y,u,v
33.0,1.0,4.205182194709778,-3.7581101059913635
34.0,1.0,4.427097737789154,-5.079843103885651
35.0,1.0,4.807822406291962,-6.009191274642944
36.0,1.0,5.526430904865265,-6.553344428539276
37.0,1.0,6.663426756858826,-6.7518651485443115
38.0,1.0,8.217766880989075,-6.640702486038208
39.0,1.0,10.123513638973236,-6.254203617572784
40.0,1.0,12.266859412193298,-5.629733204841614
41.0,1.0,14.50277864933014,-4.806555807590485
42.0,1.0,16.67175441980362,-3.830268979072571
43.0,1.0,18.616467714309692,-2.7553364634513855
44.0,1.0,20.197555422782898,-1.645199954509735
45.0,1.0,21.31078392267227,-0.5785375833511353
46.0,1.0,21.903328597545624,0.35375356674194336
47.0,1.0,21.989047527313232,1.0425224900245667
48.0,1.0,21.665729582309723,1.357533037662506
49.0,1.0,21.12843096256256,1.2427568435668945
50.0,1.0,20.472556352615356,0.8669495582580566
51.0,1.0,19.50044184923172,0.45217573642730713
52.0,1.0,18.08367669582367,0.10184943675994873
53.0,1.0,16.191937029361725,-0.11712312698364258
54.0,1.0,13.872906565666199,-0.1574680209159851
55.0,1.0,11.23473048210144,0.008717179298400879
56.0,1.0,8.426271378993988,0.39070844650268555
57.0,1.0,5.61986118555069,0.9804591536521912
58.0,1.0,2.9935315251350403,1.7536059021949768
59.0,1.0,0.7139146327972412,2.6690587401390076
60.0,1.0,-1.0809674859046936,3.6705657839775085
61.0,1.0,-2.2971630096435547,4.687793552875519
62.0,1.0,-2.9014423489570618,5.636774003505707
63.0,1.0,-2.9363110661506653,6.420761346817017
64.0,1.0,-2.5355443358421326,6.985627114772797
65.0,1.0,-1.9191578030586243,7.885433733463287
66.0,1.0,-1.1539086699485779,9.672120213508606
67.0,1.0,-0.1817941665649414,11.842101812362671
68.0,1.0,1.0192394256591797,13.553537428379059
69.0,1.0,2.4387985467910767,14.268830418586731
70.0,1.0,4.0392205119133,13.722032308578491
71.0,1.0,5.762949585914612,11.871792376041412
72.0,1.0,7.539950311183929,8.854791522026062
73.0,1.0,9.293295443058014,4.93958592414856
74.0,1.0,10.947510600090027,0.48059970140457153
75.0,1.0,12.434273958206177,-4.128441214561462
76.0,1.0,13.700723648071289,-8.50137323141098
77.0,1.0,14.71586525440216,-12.30623573064804
78.0,1.0,15.47839492559433,-15.310049057006836
79.0,1.0,16.023702919483185,-17.42694526910782
80.0,1.0,16.43192023038864,-18.5549259185791
81.0,1.0,16.80087298154831,-18.05044710636139
82.0,1.0,17.136894166469574,-15.607550740242004
83.0,1.0,17.42742955684662,-11.864528059959412
84.0,1.0,17.667710781097412,-7.564760744571686
85.0,1.0,17.858892679214478,-3.321245312690735
86.0,1.0,18.00552010536194,0.3830716013908386
87.0,1.0,18.114186823368073,3.192983567714691
88.0,1.0,18.191859126091003,4.882067441940308
89.0,1.0,18.244609236717224,5.355179309844971
90.0,1.0,18.277429044246674,4.647262394428253
91.0,1.0,18.29337328672409,2.920478582382202
92.0,1.0,18.293224275112152,0.4665553569793701
93.0,1.0,18.27683299779892,-2.292357385158539
94.0,1.0,18.242336809635162,-4.804842174053192
95.0,1.0,18.187984824180603,-6.402358412742615
96.0,1.0,18.11232417821884,-6.839260458946228
97.0,1.0,17.972178757190704,-6.650574505329132
98.0,1.0,17.68309623003006,-6.152205169200897
99.0,1.0,17.18878746032715,-5.7997554540634155
0.0,2.0,-7.771831005811691,21.034590899944305
1.0,2.0,-7.536374032497406,20.96462994813919
2.0,2.0,-7.173866033554077,20.25119960308075
3.0,2.0,-6.786026060581207,18.87170597910881
4.0,2.0,-6.398539990186691,17.276033759117126
5.0,2.0,-6.018858402967453,15.37613570690155
6.0,2.0,-5.651768296957016,13.145115226507187
7.0,2.0,-5.3002312779426575,10.705627501010895
8.0,2.0,-4.965495318174362,8.282400667667389
9.0,2.0,-4.647653549909592,6.15561380982399
10.0,2.0,-4.3457187712192535,4.613026976585388
11.0,2.0,-4.0580518543720245,3.903377801179886
12.0,2.0,-3.7829019129276276,4.1894614696502686
13.0,2.0,-3.517940640449524,5.500316619873047
14.0,2.0,-3.260783851146698,7.685050368309021
15.0,2.0,-3.009401261806488,10.36500558257103
16.0,2.0,-2.761445939540863,12.8859281539917
17.0,2.0,-2.5151297450065613,14.310665428638458
18.0,2.0,-2.267695963382721,14.330297708511353
19.0,2.0,-2.001821994781494,13.780519366264343
20.0,2.0,-1.69362872838974,13.25167715549469
21.0,2.0,-1.330748200416565,12.685097754001617
22.0,2.0,-0.910833477973938,12.012533843517303
23.0,2.0,-0.43921172618865967,11.188387870788574
24.0,2.0,0.07294118404388428,10.187067091464996
25.0,2.0,0.6110966205596924,9.000077843666077
26.0,2.0,1.1579692363739014,7.635466754436493
27.0,2.0,1.695789396762848,6.114691495895386
28.0,2.0,2.2069737315177917,4.469789564609528
29.0,2.0,2.675577998161316,2.742297947406769
30.0,2.0,3.087446093559265,0.9809434413909912
31.0,2.0,3.4315139055252075,-0.7614493370056152
32.0,2.0,3.699883818626404,-2.4294108152389526
33.0,2.0,3.887675702571869,-3.969147801399231
34.0,2.0,4.025772213935852,-5.338899791240692
35.0,2.0,4.306361079216003,-6.497204303741455
36.0,2.0,4.897676408290863,-7.393136620521545
37.0,2.0,5.877092480659485,-7.981583476066589
38.0,2.0,7.245913147926331,-8.229576051235199
39.0,2.0,8.94494354724884,-8.118338882923126
40.0,2.0,10.870061814785004,-7.64802098274231
41.0,2.0,12.887455523014069,-6.8362802267074585
42.0,2.0,14.849118888378143,-5.723088979721069
43.0,2.0,16.608238220214844,-4.372261464595795
44.0,2.0,18.034465610980988,-2.8720498085021973
45.0,2.0,19.02960240840912,-1.341886818408966
46.0,2.0,19.542798399925232,0.07230788469314575
47.0,2.0,19.58537846803665,1.1906400322914124
48.0,2.0,19.247233867645264,1.7978623509407043
49.0,2.0,18.70974898338318,1.8389895558357239
50.0,2.0,18.063224852085114,1.667812466621399
51.0,2.0,17.125606536865234,1.6124546527862549
52.0,2.0,15.775933861732483,1.6986951231956482
53.0,2.0,13.98179680109024,1.9109994173049927
54.0,2.0,11.78354024887085,2.2305548191070557
55.0,2.0,9.277984499931335,2.6366114616394043
56.0,2.0,6.601326167583466,3.1067803502082825
57.0,2.0,3.9140135049819946,3.6176666617393494
58.0,2.0,1.383759081363678,4.145987331867218
59.0,2.0,-0.8300691843032837,4.6684592962265015
60.0,2.0,-2.593100070953369,5.162730813026428
61.0,2.0,-3.811568021774292,5.607977509498596
62.0,2.0,-4.448480904102325,5.985908210277557
63.0,2.0,-4.539601504802704,6.281211972236633
64.0,2.0,-4.209056496620178,6.52652233839035
65.0,2.0,-3.665834665298462,7.237531244754791
66.0,2.0,-2.9550492763519287,8.823350071907043
67.0,2.0,-1.9982829689979553,10.739937424659729
68.0,2.0,-0.7635354995727539,12.18743622303009
69.0,2.0,0.7383525371551514,12.664496898651123
70.0,2.0,2.46342271566391,11.933855712413788
71.0,2.0,4.341974854469299,9.974092245101929
72.0,2.0,6.2886252999305725,6.933733820915222
73.0,2.0,8.209757506847382,3.084838390350342
74.0,2.0,10.013096034526825,-1.222752034664154
75.0,2.0,11.615864932537079,-5.608387291431427
76.0,2.0,12.953802943229675,-9.70795750617981
77.0,2.0,13.989731669425964,-13.219527900218964
78.0,2.0,14.722011983394623,-15.94938337802887
79.0,2.0,15.193931758403778,-17.859898507595062
80.0,2.0,15.501901507377625,-18.887557089328766
81.0,2.0,15.770308673381805,-18.353275954723358
82.0,2.0,16.032010316848755,-15.889592468738556
83.0,2.0,16.290172934532166,-12.121833860874176
84.0,2.0,16.5461003780365,-7.794983685016632
85.0,2.0,16.799308359622955,-3.5236403346061707
86.0,2.0,17.04830676317215,0.20828098058700562
87.0,2.0,17.29018986225128,3.045126795768738
88.0,2.0,17.521381378173828,4.760287702083588
89.0,2.0,17.737597227096558,5.258731544017792
90.0,2.0,17.934516072273254,4.575215280056
91.0,2.0,18.108002841472626,2.8720498085021973
92.0,2.0,18.254704773426056,0.4413723945617676
93.0,2.0,18.37223768234253,-2.294667065143585
94.0,2.0,18.459931015968323,-4.784874618053436
95.0,2.0,18.51934939622879,-6.360411643981934
96.0,2.0,18.553584814071655,-6.749182939529419
97.0,2.0,18.51152628660202,-6.437487900257111
98.0,2.0,18.29296350479126,-5.738735198974609
99.0,2.0,17.83996820449829,-5.271807312965393
0.0,3.0,-8.060187101364136,20.832382142543793
1.0,3.0,-7.894020527601242,20.699147135019302
2.0,3.0,-7.603392004966736,19.91044729948044
3.0,3.0,-7.294882088899612,18.521752208471298
4.0,3.0,-7.0155225694179535,16.936045140028
5.0,3.0,-6.782952696084976,15.052501112222672
6.0,3.0,-6.600823253393173,12.839902192354202
7.0,3.0,-6.46224245429039,10.417811572551727
8.0,3.0,-6.3539668917655945,8.00909474492073
9.0,3.0,-6.259232759475708,5.892757326364517
10.0,3.0,-6.160475313663483,4.35609370470047
11.0,3.0,-6.041638553142548,3.648456186056137
12.0,3.0,-5.889758467674255,3.9332732558250427
13.0,3.0,-5.696229636669159,5.2403658628463745
14.0,3.0,-5.457568913698196,7.420163601636887
15.0,3.0,-5.175694823265076,10.094977915287018
16.0,3.0,-4.8576295375823975,12.611784040927887
17.0,3.0,-4.515163600444794,14.033280313014984
18.0,3.0,-4.1610002517700195,14.039874076843262
19.0,3.0,-3.765672445297241,13.45314085483551
20.0,3.0,-3.2801926136016846,12.866780161857605
21.0,3.0,-2.6869773864746094,12.236647307872772
22.0,3.0,-1.9935891032218933,11.505670845508575
23.0,3.0,-1.2244656682014465,10.63607633113861
24.0,3.0,-0.4139542579650879,9.60715115070343
25.0,3.0,0.3994256258010864,8.413195610046387
26.0,3.0,1.1771544814109802,7.062777876853943
27.0,3.0,1.8858537077903748,5.57582825422287
28.0,3.0,2.498924732208252,3.982074558734894
29.0,3.0,2.998635172843933,2.319738268852234
30.0,3.0,3.3764541149139404,0.6335973739624023
31.0,3.0,3.6334246397018433,-1.0276585817337036
32.0,3.0,3.777928650379181,-2.611875534057617
33.0,3.0,3.823228180408478,-4.083998501300812
34.0,3.0,3.8147717714309692,-5.498528480529785
35.0,3.0,3.9452314376831055,-6.881095468997955
36.0,3.0,4.384033381938934,-8.124075829982758
37.0,3.0,5.213096737861633,-9.100101888179779
38.0,3.0,6.440766155719757,-9.708553552627563
39.0,3.0,8.014962077140808,-9.878352284431458
40.0,3.0,9.83748584985733,-9.572245180606842
41.0,3.0,11.778324842453003,-8.785612881183624
42.0,3.0,13.690739870071411,-7.551051676273346
43.0,3.0,15.425793826580048,-5.94068318605423
44.0,3.0,16.849040985107422,-4.06656414270401
45.0,3.0,17.85583794116974,-2.0868703722953796
46.0,3.0,18.38788390159607,-0.2020224928855896
47.0,3.0,18.449872732162476,1.338087022304535
48.0,3.0,18.12722533941269,2.233162522315979
49.0,3.0,17.60154962539673,2.4267658591270447
50.0,3.0,16.97443425655365,2.451092004776001
51.0,3.0,16.081631183624268,2.7394667267799377
52.0,3.0,14.808550477027893,3.2456591725349426
53.0,3.0,13.120211660861969,3.8752704858779907
54.0,3.0,11.048316955566406,4.54634428024292
55.0,3.0,8.677169680595398,5.190931260585785
56.0,3.0,6.130300462245941,5.754679441452026
57.0,3.0,3.555789589881897,6.198026239871979
58.0,3.0,1.1111795902252197,6.497688591480255
59.0,3.0,-1.0508298873901367,6.645917892456055
60.0,3.0,-2.7985870838165283,6.652064621448517
61.0,3.0,-4.0371716022491455,6.543174386024475
62.0,3.0,-4.725046455860138,6.364807486534119
63.0,3.0,-4.89015132188797,6.181336939334869
64.0,3.0,-4.647634923458099,6.111860275268555
65.0,3.0,-4.196204245090485,6.631426513195038
66.0,3.0,-3.566369414329529,8.0045685172081
67.0,3.0,-2.6687607169151306,9.650588035583496
68.0,3.0,-1.4697015285491943,10.816901922225952
69.0,3.0,0.014975666999816895,11.041872203350067
70.0,3.0,1.7324090003967285,10.118409991264343
71.0,3.0,3.603138029575348,8.04658979177475
72.0,3.0,5.531013011932373,4.98700886964798
73.0,3.0,7.414035499095917,1.2151151895523071
74.0,3.0,9.153299033641815,-2.9255077242851257
75.0,3.0,10.663233697414398,-7.069148123264313
76.0,3.0,11.87928020954132,-10.875239968299866
77.0,3.0,12.767501175403595,-14.074444770812988
78.0,3.0,13.332031667232513,-16.51424914598465
79.0,3.0,13.62290233373642,-18.20683479309082
80.0,3.0,13.743266463279724,-19.13130283355713
81.0,3.0,13.830699026584625,-18.58055591583252
82.0,3.0,13.953782618045807,-16.127415001392365
83.0,3.0,14.143511652946472,-12.378618121147156
84.0,3.0,14.414824545383453,-8.073896169662476
85.0,3.0,14.769136905670166,-3.8234516978263855
86.0,3.0,15.197023749351501,-0.10780990123748779
87.0,3.0,15.680566430091858,2.7199089527130127
88.0,3.0,16.196444630622864,4.434660077095032
89.0,3.0,16.71820878982544,4.942044615745544
90.0,3.0,17.21903681755066,4.276856780052185
91.0,3.0,17.67430454492569,2.6002898812294006
92.0,3.0,18.0642306804657,0.20232051610946655
93.0,3.0,18.37652176618576,-2.4975836277008057
94.0,3.0,18.609128892421722,-4.951953887939453
95.0,3.0,18.772445619106293,-6.496012210845947
96.0,3.0,18.89072358608246,-6.831437349319458
97.0,3.0,18.93114298582077,-6.389953196048737
98.0,3.0,18.796399235725403,-5.480647087097168
99.0,3.0,18.43232661485672,-4.893764853477478
0.0,4.0,-7.909480482339859,20.702257752418518
1.0,4.0,-7.8176893293857574,20.50783485174179
2.0,4.0,-7.606353610754013,19.65206116437912
3.0,4.0,-7.392019033432007,18.283836543560028
4.0,4.0,-7.263459265232086,16.76410436630249
5.0,4.0,-7.259603589773178,14.96143639087677
6.0,4.0,-7.3826126754283905,12.8244049847126
7.0,4.0,-7.608551532030106,10.458771139383316
