x,y,u,v
0,0,-5.671791732311249,20.19822597503662
0,1,-6.255879998207092,20.050406455993652
0,2,-7.158704102039337,19.979067146778107
0,3,-7.668137550354004,19.972994923591614
0,4,-7.949415594339371,20.028650760650635
0,5,-7.865969091653824,20.13999968767166
0,6,-7.164999842643738,20.3019380569458
0,7,-5.7676807045936584,20.513087511062622
0,8,-3.7679076194763184,20.775198936462402
0,9,-1.385807991027832,21.091699600219727
0,10,1.079067587852478,21.466761827468872
0,11,3.2942555844783783,21.904893219470978
0,12,4.941001534461975,22.40952104330063
0,13,5.761235952377319,22.982582449913025
0,14,5.603861063718796,23.624524474143982
0,15,4.471428692340851,24.33236688375473
0,16,2.567153424024582,25.100596249103546
0,17,0.3409944474697113,25.920309126377106
0,18,-1.4702044427394867,26.7786905169487
0,19,-2.160966396331787,27.659311890602112
1,0,-5.52397221326828,21.013282239437103
1,1,-6.146300584077835,20.76316624879837
1,2,-7.119998335838318,20.579658448696136
1,3,-7.692929357290268,20.45838162302971
1,4,-8.032917976379395,20.400136709213257
1,5,-8.002612739801407,20.404215902090073
1,6,-7.351543754339218,20.469781011343002
1,7,-6.004311144351959,20.597539842128754
1,8,-4.057213664054871,20.789019763469696
1,9,-1.731589436531067,21.046176552772522
1,10,0.6724707782268524,21.370407193899155
1,11,2.8228759765625,21.762624382972717
1,12,4.4021569192409515,22.22234383225441
1,13,5.153734236955643,22.747702896595
1,14,4.928968846797943,23.335181176662445
1,15,3.7333928048610687,23.979470133781433
1,16,1.7731823027133942,24.673324078321457
1,17,-0.4980526864528656,25.407802313566208
1,18,-2.3397058248519897,26.172157377004623
1,19,-3.041587769985199,26.95417031645775
2,0,-5.171559751033783,22.150538861751556
2,1,-5.8222562074661255,21.72991633415222
2,2,-6.853919476270676,21.35932445526123
2,3,-7.488615810871124,21.045617759227753
2,4,-7.8952498733997345,20.79663798213005
2,5,-7.935613393783569,20.619165152311325
2,6,-7.358323782682419,20.518172532320023
2,7,-6.086919456720352,20.49703150987625
2,8,-4.216544330120087,20.557381212711334
2,9,-1.9671954214572906,20.69879323244095
2,10,0.3626197576522827,20.91929316520691
2,11,2.442318946123123,21.21463418006897
2,12,3.955923020839691,21.57917246222496
2,13,4.648398607969284,22.005606442689896
2,14,4.372093826532364,22.485554218292236
2,15,3.133285790681839,23.009944707155228
2,16,1.1388212442398071,23.569446057081223
2,17,-1.1578388512134552,24.155043065547943
2,18,-3.016572445631027,24.758819490671158
2,19,-3.724992275238037,25.37420019507408
3,0,-4.682727158069611,21.998342126607895
3,1,-5.355086177587509,21.489057689905167
3,2,-6.435699760913849,21.021664142608643
3,3,-7.130242884159088,20.60825005173683
3,4,-7.606465369462967,20.26006579399109
3,5,-7.724147289991379,19.988510757684708
3,6,-7.229410111904144,19.80191096663475
3,7,-6.043519824743271,19.704755395650864
3,8,-4.258975386619568,19.698217511177063
3,9,-2.093501389026642,19.780155271291733
3,10,0.15662983059883118,19.945930689573288
3,11,2.162996679544449,20.188335329294205
3,12,3.6111846566200256,20.498689264059067
3,13,4.247352480888367,20.866859704256058
3,14,3.924630582332611,21.282266825437546
3,15,2.6495009660720825,21.734200417995453
3,16,0.6280839443206787,22.212937474250793
3,17,-1.687426120042801,22.710077464580536
3,18,-3.558862954378128,23.21956679224968
3,19,-4.272349178791046,23.7380713224411
4,0,-4.152990877628326,20.809117704629898
4,1,-4.845578223466873,20.27459442615509
4,2,-5.973111838102341,19.782856106758118
4,3,-6.727017462253571,19.344091415405273
4,4,-7.2755105793476105,18.972288817167282
4,5,-7.477458566427231,18.695611506700516
4,6,-7.074568420648575,18.5345858335495
4,7,-5.983226001262665,18.496215343475342
4,8,-4.291944205760956,18.576830625534058
4,9,-2.2149085998535156,18.765348941087723
