x,y,u,v
0,0,-7.33397901058197,20.942576229572296
0,1,-7.571745663881302,20.548850297927856
0,2,-7.8667886555194855,20.22538334131241
0,3,-7.660184055566788,19.98063176870346
0,4,-6.775334477424622,19.82029527425766
0,5,-5.226209759712219,19.7475403547287
0,6,-3.1750649213790894,19.762367010116577
0,7,-0.8857622742652893,19.86246556043625
0,8,1.322329044342041,20.04321664571762
0,9,3.121066838502884,20.29765397310257
0,10,4.219915717840195,20.617395639419556
0,11,4.412047564983368,20.992904901504517
0,12,3.6214105784893036,21.413639187812805
0,13,1.9486062228679657,21.86957746744156
0,14,-0.28248876333236694,22.35107123851776
0,15,-2.4782121181488037,22.850297391414642
0,16,-3.913380205631256,23.36151897907257
0,17,-5.135945975780487,23.87017011642456
0,18,-7.1848370134830475,24.27130937576294
0,19,-8.449777960777283,24.454034864902496
1,0,-6.9402530789375305,20.252149552106857
1,1,-7.213149219751358,19.85093578696251
1,2,-7.582679390907288,19.524097442626953
1,3,-7.4576400220394135,19.287653267383575
1,4,-6.658788770437241,19.150637090206146
1,5,-5.197245627641678,19.115284085273743
1,6,-3.2325275242328644,19.17872577905655
1,7,-1.0261870920658112,19.333697855472565
1,8,1.1047348380088806,19.569937139749527
1,9,2.8339773416519165,19.875187426805496
1,10,3.872290253639221,20.236168056726456
1,11,4.013925790786743,20.639579743146896
1,12,3.1830742955207825,21.07292413711548
1,13,1.4798901975154877,21.52552828192711
1,14,-0.7728487253189087,21.989066153764725
1,15,-2.9834359884262085,22.458750754594803
1,16,-4.423316568136215,22.93352037668228
1,17,-5.590841174125671,23.402981460094452
1,18,-7.476769387722015,23.75442534685135
1,19,-8.63250344991684,23.869741708040237
2,0,-6.531551480293274,18.80718395113945
2,1,-6.843693554401398,18.396656960248947
2,2,-7.303506135940552,18.075481057167053
2,3,-7.286723703145981,17.887279391288757
2,4,-6.602965295314789,17.851926386356354
2,5,-5.254298448562622,17.969105392694473
2,6,-3.3934786915779114,18.223803490400314
2,7,-1.2769736349582672,18.591098487377167
2,8,0.7808394730091095,19.04057338833809
2,9,2.454835921525955,19.54028382897377
2,10,3.4555234014987946,20.0597383081913
2,11,3.575291484594345,20.572654902935028
2,12,2.735462039709091,21.05914056301117
2,13,1.0324642062187195,21.50721848011017
2,14,-1.215711236000061,21.913740783929825
2,15,-3.4226663410663605,22.28500321507454
2,16,-4.857610911130905,22.63640984892845
2,17,-5.956850945949554,22.97239378094673
2,18,-7.651597261428833,23.15480262041092
2,19,-8.68041068315506,23.04140478372574
3,0,-6.119199097156525,17.148777842521667
3,1,-6.481446325778961,16.737133264541626
3,2,-7.073301821947098,16.43909141421318
3,3,-7.234085351228714,16.342774033546448
3,4,-6.7406147718429565,16.48496836423874
3,5,-5.569122731685638,16.860291361808777
3,6,-3.854520618915558,17.43299886584282
3,7,-1.8429569900035858,18.148869276046753
3,8,0.15554949641227722,18.944591283798218
3,9,1.814812421798706,19.755996763706207
3,10,2.8399191796779633,20.52534371614456
3,11,3.014523535966873,21.20625227689743
3,12,2.248510718345642,21.767783910036087
3,13,0.6252899765968323,22.197235375642776
3,14,-1.5506334602832794,22.50092104077339
3,15,-3.706105053424835,22.703800350427628
3,16,-5.110707134008408,22.84776419401169
3,17,-6.109233945608139,22.960323840379715
3,18,-7.545780390501022,22.866912186145782
3,19,-8.405707776546478,22.39115536212921
4,0,-5.708262324333191,15.158969908952713
4,1,-6.134007126092911,14.75118100643158
4,2,-6.9091469049453735,14.482289552688599
4,3,-7.332600653171539,14.488156884908676
4,4,-7.120482623577118,14.823190867900848
4,5,-6.202328950166702,15.474390238523483
4,6,-4.6820566058158875,16.382616013288498
4,7,-2.7885660529136658,17.460621893405914
4,8,-0.8262880146503448,18.60896125435829
4,9,0.8740834891796112,19.72924917936325
4,10,2.0052678883075714,20.734835416078568
4,11,2.33285129070282,21.559391170740128
4,12,1.7444789409637451,22.162292152643204
4,13,0.2993270754814148,22.532176226377487
4,14,-1.722276210784912,22.687390446662903
4,15,-3.769509494304657,22.674407809972763
4,16,-5.1141344010829926,22.56356179714203
4,17,-5.975998938083649,22.40588888525963
4,18,-7.0824287831783295,21.99457958340645
4,19,-7.728897035121918,21.126307547092438
5,0,-5.303621292114258,12.852940708398819
5,1,-5.804765969514847,12.453664094209671
5,2,-6.810277700424194,12.213028967380524
5,3,-7.574986666440964,12.308284640312195
5,4,-7.726848125457764,12.80689612030983
5,5,-7.128547877073288,13.687647879123688
5,6,-5.840752273797989,14.868918806314468
5,7,-4.0693022310733795,16.2336602807045
5,8,-2.113077789545059,17.650723457336426
5,9,-0.3110617399215698,18.99266615509987
5,10,1.0097771883010864,20.14966681599617
5,11,1.587066799402237,21.04043960571289
5,12,1.2757256627082825,21.619033068418503
5,13,0.10019168257713318,21.87836915254593
5,14,-1.6928650438785553,21.849963814020157
5,15,-3.582276403903961,21.600425243377686
5,16,-4.842188209295273,21.223966032266617
5,17,-5.540251731872559,20.79049125313759
5,18,-6.266199052333832,20.075496286153793
5,19,-6.669163703918457,18.86725425720215
6,0,-4.909709095954895,10.383538901805878
6,1,-5.4940953850746155,9.996872395277023
6,2,-6.763767451047897,9.779110550880432
6,3,-7.926467806100845,9.935460984706879
6,4,-8.49984586238861,10.540112853050232
6,5,-8.264351636171341,11.563003063201904
6,6,-7.228069007396698,12.904834002256393
6,7,-5.570370703935623,14.426317065954208
6,8,-3.5852938890457153,15.974454581737518
6,9,-1.624859869480133,17.40250736474991
6,10,-0.04250556230545044,18.58741044998169
6,11,0.8634850382804871,19.440948963165283
6,12,0.9065493941307068,19.917767494916916
6,13,0.06839632987976074,20.017847418785095
6,14,-1.4443323016166687,19.78561282157898
6,15,-3.143511712551117,19.303392618894577
6,16,-4.3042004108428955,18.6808779835701
6,17,-4.827529191970825,17.998777329921722
6,18,-5.159191787242889,17.03500747680664
6,19,-5.312412977218628,15.591606497764587
7,0,-4.530288279056549,7.994137704372406
7,1,-5.200337618589401,7.623378187417984
7,2,-6.74886628985405,7.420573383569717
7,3,-8.335988968610764,7.60149210691452
7,4,-9.35439020395279,8.239466696977615
7,5,-9.49326902627945,9.296461939811707
7,6,-8.704066276550293,10.662097483873367
7,7,-7.138922810554504,12.185648083686829
7,8,-5.089268088340759,13.704150915145874
7,9,-2.924017608165741,15.064924955368042
7,10,-1.0286644101142883,16.142576932907104
7,11,0.2567097544670105,16.85161143541336
7,12,0.6988272070884705,17.153210937976837
7,13,0.23234635591506958,17.05702394247055
7,14,-0.9784102439880371,16.61829650402069
7,15,-2.4775415658950806,15.928857028484344
7,16,-3.537572920322418,15.104003250598907
7,17,-3.8943812251091003,14.224909245967865
7,18,-3.8590282201766968,13.092905282974243
7,19,-3.7823617458343506,11.545754969120026
8,0,-4.168190062046051,5.972087383270264
8,1,-4.920531064271927,5.619749426841736
8,2,-6.741881370544434,5.422718822956085
8,3,-8.745361119508743,5.589500069618225
8,4,-10.194815695285797,6.184577941894531
8,5,-10.686982423067093,7.1641430258750916
8,6,-10.11725515127182,8.414313197135925
8,7,-8.61242413520813,9.78466123342514
8,8,-6.464570760726929,11.115819215774536
8,9,-4.0632858872413635,12.261942028999329
8,10,-1.829192042350769,13.10747116804123
8,11,-0.1471489667892456,13.578236103057861
8,12,0.7011368870735168,13.647489249706268
8,13,0.603310763835907,13.335831463336945
8,14,-0.31616538763046265,12.706257402896881
8,15,-1.6292184591293335,11.853054165840149
8,16,-2.600252628326416,10.886415839195251
8,17,-2.816431224346161,9.878389537334442
8,18,-2.48003751039505,8.671320974826813
8,19,-2.218112349510193,7.157213985919952
9,0,-3.8256123661994934,4.600696265697479
9,1,-4.650969058275223,4.268381744623184
9,2,-6.718616932630539,4.068184643983841
9,3,-9.09784808754921,4.184339195489883
9,4,-10.929033160209656,4.666764289140701
9,5,-11.723004281520844,5.467794835567474
9,6,-11.324584484100342,6.478168070316315
9,7,-9.840428829193115,7.559247314929962
9,8,-7.5665488839149475,8.567944169044495
9,9,-4.915669560432434,9.377487003803253
9,10,-2.344958484172821,9.89232212305069
9,11,-0.28330832719802856,10.057203471660614
9,12,0.9412318468093872,9.861141443252563
9,13,1.1735782027244568,9.335726499557495
9,14,0.5043670535087585,8.548013865947723
9,15,-0.6577000021934509,7.587820291519165
9,16,-1.5629082918167114,6.549805402755737
9,17,-1.6792863607406616,5.489327013492584
9,18,-1.137852668762207,4.302039742469788
9,19,-0.7541477680206299,2.9452145099639893
10,0,-3.503561019897461,4.112217575311661
10,1,-4.388019442558289,3.800559788942337
10,2,-6.657838821411133,3.589540719985962
10,3,-9.343940764665604,3.6253035068511963
10,4,-11.478271335363388,3.9387494325637817
10,5,-12.498386204242706,4.481188952922821
10,6,-12.208707630634308,5.155801773071289
10,7,-10.70220023393631,5.845390260219574
10,8,-8.28281044960022,6.4338743686676025
10,9,-5.387663841247559,6.823502480983734
10,10,-2.50890851020813,6.946437060832977
10,11,-0.11596828699111938,6.771460175514221
10,12,1.4226138591766357,6.305165588855743
10,13,1.916438341140747,5.589090287685394
10,14,1.4317408204078674,4.689954221248627
10,15,0.3689900040626526,3.686845302581787
10,16,-0.5017593502998352,2.6509538292884827
10,17,-0.5686655640602112,1.6149505972862244
10,18,0.06407499313354492,0.5337968468666077
10,19,0.4955381155014038,-0.567510724067688
11,0,-3.202296793460846,4.641525447368622
11,1,-4.128292202949524,4.350244998931885
11,2,-6.543360650539398,4.122816026210785
11,3,-9.44705680012703,4.057828336954117
11,4,-11.78491860628128,4.165172576904297
11,5,-12.94005662202835,4.397928714752197
11,6,-12.688785791397095,4.678070545196533
11,7,-11.118501424789429,4.917271435260773
11,8,-8.544661104679108,5.034320056438446
11,9,-5.428232252597809,4.966743290424347
11,10,-2.292916178703308,4.679188132286072
11,11,0.3579631447792053,4.166662693023682
11,12,2.123601734638214,3.4535303711891174
11,13,2.7887895703315735,2.588331699371338
11,14,2.4066120386123657,1.6336888074874878
11,15,1.3813003897666931,0.6522238254547119
11,16,0.5089864134788513,-0.31229108572006226
11,17,0.4378706216812134,-1.2541189789772034
11,18,1.0446086525917053,-2.1599605679512024
11,19,1.4484673738479614,-2.942308783531189
12,0,-2.921000123023987,6.177946925163269
12,1,-3.8693100214004517,5.9055909514427185
12,2,-6.365422159433365,5.6586600840091705
12,3,-9.386297315359116,5.483850836753845
12,4,-11.818371713161469,5.370341241359711
12,5,-13.011284172534943,5.2758678793907166
12,6,-12.728050351142883,5.145072937011719
12,7,-11.058449745178223,4.923418164253235
12,8,-8.332282304763794,4.5678019523620605
